Դրամական Միվորներ ըստ երկրի։
Մակեդոնիա դենար  Իրանը ռիալ 
Մակեդոնիա դենար  Ճապոնիա իեն
Մակեդոնիա դենար  Կորեայի հավաքականը հաղթեց
Մակեդոնիա դենար  Լատվիա լատս 
Մակեդոնիա դենար  Լիտվա լիտաս 
Մալայզիա Ռինգիթ Մեքսիկա Պեսո
Մալայզիա Ռինգիթ Նիգերիա ՆԱԻՌԱ 
Մալայզիա Ռինգիթ Լեհաստան զլոտի
Մալայզիա Ռինգիթ Ռումինիա Լեու 
Մալայզիա Ռինգիթ Ռուսաստան ռուբլի
Մալայզիա Ռինգիթ Շվեդիա կռոն 
Մալայզիա Ռինգիթ Թաիլանդ բահթ 
Մալայզիա Ռինգիթ Ուկրաինա գրիվեն 
Մալայզիա Ռինգիթ ԱՄՆ դոլար
Մալայզիա Ռինգիթ Վիետնամ առաջ
Մալայզիա Ռինգիթ Ալժիրի դինար
Մալայզիա Ռինգիթ Անգոլա Կվանզա  
Մալայզիա Ռինգիթ Արգենտինա պեսո
Մալայզիա Ռինգիթ Հայաստան դրամ
Մալայզիա Ռինգիթ Բրազիլիա ռեալ 
Մալայզիա Ռինգիթ Բուլղարիա լեվ
Մալայզիա Ռինգիթ Կամբոջիա Ռիյել
Մալայզիա Ռինգիթ Կանադա դոլարը
Մալայզիա Ռինգիթ Խորվաթիա Կունա 
Մալայզիա Ռինգիթ Դանիա կռոն 
Մալայզիա Ռինգիթ Եվրոպա եվրո
Մալայզիա Ռինգիթ Հունգարիա ֆորինտ 
Մալայզիա Ռինգիթ Հնդկաստան ռուփի 
Մալայզիա Ռինգիթ Իրանը ռիալ 
Մալայզիա Ռինգիթ Ճապոնիա յեն
Մալայզիա Ռինգիթ Կորեայի հավաքականը հաղթեց
Մալայզիա Ռինգիթ Լատվիա լատս 
Մալայզիա Ռինգիթ Լիտվա լիտաս 
Մալայզիա Ռինգիթ Մակեդոնիա դենար 
Մեքսիկա Պեսո Նիգերիա ՆԱԻՌԱ 
Մեքսիկայում Պեսո Լեհաստան զլոտի
Մեքսիկա Պեսո Ռումինիա Լեու 
Մեքսիկան Պեսո Ռուսաստանը ռուբլի 
Մեքսիկա Պեսո Շվեդիա կռոն 
Մեքսիկա Պեսո Թաիլանդ բահթ 
Մեքսիկա Պեսո Ուկրաինայի գրիվեն 
Մեքսիկա պեսո ԱՄՆ դոլար
Մեքսիկա Պեսո Վիետնամ Դոնգ 
Մեքսիկա Պեսո Ալժիր դինար 
Մեքսիկա Պեսո Անգոլա Կվանզա  
Մեքսիկա Պեսո Հայաստան դրամ
Մեքսիկա Պեսո Բրազիլիա ռեալ 
Մեքսիկա Պեսո Բուլղարիա լեվ
Մեքսիկա Պեսո Կամբոջիա Ռիյել
Մեքսիկա Պեսո Կանադա դոլարը
Մեքսիկա Պեսո Խորվաթիա Կունա 
Մեքսիկա Պեսո Դանիա կրոնը
Մեքսիկա Պեսո Եվրոպա եվրո
Մեքսիկա Պեսո Հունգարիա ֆորինտ
Մեքսիկա Պեսո Հնդկաստան ռուփի
Մեքսիկա Պեսո Իրանը ռիալ 
Մեքսիկա Պեսո Ճապոնիա իեն
Մեքսիկա Պեսո Կորեայի հավաքականը հաղթեց
Մեքսիկա Պեսո Լատվիա լատս 
Մեքսիկա Պեսո Լիտվա լիտաս 
Մեքսիկա Պեսո Մակեդոնիա դենար 
Մեքսիկա Պեսո Մալայզիա Ռինգիթ
Նիգերիա ՆԱԻՌԱ Լեհաստան զլոտի
Նիգերիա ՆԱԻՌԱ Ռումինիա Լեու 
Նիգերիա ՆԱԻՌԱ Ռուսաստան ռուբլի
Նիգերիա ՆԱԻՌԱ Շվեդիա կռոն 
Նիգերիա ՆԱԻՌԱ Թաիլանդ բահթ 
Նիգերիա ՆԱԻՌԱ Ուկրաինա գրիվեն 
Նիգերիա ՆԱԻՌԱ ԱՄՆ դոլար
Նիգերիա ՆԱԻՌԱ Վիետնամ առաջ
Նիգերիա ՆԱԻՌԱ Ալժիրի դինար
Նիգերիա ՆԱԻՌԱ  Անգոլա Կվանզա  
Նիգերիա ՆԱԻՌԱ Արգենտինա պեսո
Նիգերիա ՆԱԻՌԱ Հայաստան դրամ
Նիգերիա ՆԱԻՌԱ Բրազիլիա ռեալ 
Նիգերիա ՆԱԻՌԱ Բուլղարիա լեվ
Նիգերիա ՆԱԻՌԱ Կամբոջիա Ռիյել
Նիգերիա ՆԱԻՌԱ Կանադա դոլարը
Նիգերիա ՆԱԻՌԱ Խորվաթիա կունա 
Նիգերիա ՆԱԻՌԱ Դանիա կռոն 
Նիգերիա ՆԱԻՌԱ Եվրոպա եվրո
Նիգերիա ՆԱԻՌԱ Հունգարիա ֆորինտ 
Նիգերիա ՆԱԻՌԱ Հնդկաստան ռուփի 
Նիգերիա ՆԱԻՌԱ Իրան ռիալ
Նիգերիա ՆԱԻՌԱ Ճապոնիա յեն
Նիգերիա ՆԱԻՌԱ  Կորեայի հավաքականը հաղթեց
Նիգերիա ՆԱԻՌԱ Լատվիա լատս 
Նիգերիա ՆԱԻՌԱ Լիտվա լիտաս 
Նիգերիա ՆԱԻՌԱ Մակեդոնիա դենար 
Նիգերիա ՆԱԻՌԱ Մալայզիա Ռինգիթ
Նիգերիա ՆԱԻՌԱ  Մեքսիկա Պեսո
Լեհաստանը զլոտի Ռումինիա Լեու 
Լեհաստանը զլոտի Ռուսաստանը ռուբլի 
Լեհաստանը զլոտի Շվեդիա կռոն 
Լեհաստանը զլոտի Թաիլանդ բահթ 
Լեհաստանը զլոտի Ուկրաինայի գրիվեն 
Լեհաստանը զլոտի ԱՄՆ դոլար
Լեհաստանը զլոտի Վիետնամ Դոնգ 
Լեհաստանը զլոտի Ալժիր դինար 
Լեհաստանը զլոտի Անգոլա Կվանզա  
Լեհաստանը զլոտի Արգենտինա Պեսո
Լեհաստանը զլոտի Հայաստան դրամ
Լեհաստանը զլոտի Բրազիլիա ռեալ 
Լեհաստանը զլոտի Բուլղարիա լեվ
Լեհաստանը զլոտի Կամբոջիա Ռիյել
Լեհաստանը զլոտի Կանադա դոլարը
Լեհաստանը զլոտի Խորվաթիա Կունա 
Լեհաստանը զլոտի Դանիա կրոնը
Լեհաստանը զլոտի Եվրոպա եվրո
Լեհաստանը զլոտի Հունգարիա ֆորինտ
Լեհաստանը զլոտի Հնդկաստան ռուփի
Լեհաստանը զլոտի Իրանը ռիալ 
Լեհաստանը զլոտի Ճապոնիա իեն
Լեհաստանը զլոտի Կորեայի հավաքականը հաղթեց
Լեհաստանը զլոտի Լատվիա լատս 
Լեհաստանը զլոտի Լիտվա լիտաս 
Լեհաստանը զլոտի Մակեդոնիա դենար 
Լեհաստանը զլոտի Մալայզիա Ռինգիթ
Լեհաստանը զլոտի Մեքսիկա Պեսո
Լեհաստանը զլոտի Նիգերիա ՆԱԻՌԱ 
Ռումինիա Լեու  Ռուսաստան ռուբլի
Ռումինիա Լեու  Շվեդիա կռոն 
Ռումինիա Լեու  Թաիլանդ բահթ 
Ռումինիա Լեու  Ուկրաինա գրիվեն 
Ռումինիա Լեու  ԱՄՆ դոլար
Ռումինիա Լեու  Վիետնամ Դոնգ 
Ռումինիա Լեու  Ալժիրի դինար
Ռումինիա Լեու  Անգոլա Կվանզա  
Ռումինիա Լեու  Արգենտինա պեսո
Ռումինիա Լեու  Հայաստան դրամ
Ռումինիա Լեու  Բրազիլիա ռեալ 
Ռումինիա Լեու  Բուլղարիա լեվ
Ռումինիա Լեու  Կամբոջիա Ռիյել
Ռումինիա Լեու  Կանադա դոլարը
Ռումինիա Լեու  Խորվաթիա Կունա 
Ռումինիա Լեու  Դանիա կռոն 
Ռումինիա Լեու  Եվրոպա եվրո
Ռումինիա Լեու  Հունգարիա ֆորինտ 
Ռումինիա Լեու  Հնդկաստան ռուփի 
Ռումինիա Լեու  Իրանը ռիալ 
Ռումինիա Լեու  Ճապոնիա յեն
Ռումինիա Լեու  Կորեայի հավաքականը հաղթեց
Ռումինիա Լեու  Լատվիա լատս 
Ռումինիա Լեու  Լիտվա լիտաս 
Ռումինիա Լեու  Մակեդոնիա դենար 
Ռումինիա Լեու  Մալայզիա Ռինգիթ
Ռումինիա Լեու  Մեքսիկա Պեսո
Ռումինիա Լեու  Նիգերիա ՆԱԻՌԱ 
Ռումինիա Լեու  Լեհաստան զլոտի
Ռուսաստանը ռուբլի  Շվեդիա կռոն 
Ռուսաստանը ռուբլի  Թաիլանդ բահթ 
Ռուսաստանը ռուբլի  Ուկրաինայի գրիվեն 
Ռուսաստանը ռուբլի  ԱՄՆ դոլար
Ռուսաստանը ռուբլի  Վիետնամ Դոնգ 
Ռուսաստանը ռուբլի  Ալժիր դինար 
Ռուսաստանը ռուբլի  Անգոլա Կվանզա  
Ռուսաստանը ռուբլի  Արգենտինա Պեսո
Ռուսաստանը ռուբլի  Հայաստան դրամ
Ռուսաստանը ռուբլի  Բրազիլիա ռեալ 
Ռուսաստանը ռուբլի  Բուլղարիա լեվ
Ռուսաստանը ռուբլի  Կամբոջիա Ռիյել
Ռուսաստանը ռուբլի  Կանադա դոլարը
Ռուսաստանը ռուբլի  Խորվաթիա Կունա 
Ռուսաստանը ռուբլի  Դանիա կրոնը
Ռուսաստանը ռուբլի  Եվրոպա եվրո
Ռուսաստանը ռուբլի  Հունգարիան ֆորինտ
Ռուսաստանը ռուբլի  Հնդկաստան ռուփի
Ռուսաստանը ռուբլի  Իրանը ռիալ 
Ռուսաստանը ռուբլի  Ճապոնիա իեն
Ռուսաստանը ռուբլի  Կորեան հաղթեց
Ռուսաստանը ռուբլի  Լատվիա լատս 
Ռուսաստանը Ռուբլի Լիտվա լիտաս 
Ռուսաստանը ռուբլի  Մակեդոնիա դենար 
Ռուսաստանը ռուբլի  Մալայզիա Ռինգիթ
Ռուսաստանը ռուբլի  Մեքսիկա Պեսո
Ռուսաստանը ռուբլի  Նիգերիա ՆԱԻՌԱ 
Ռուսաստանը ռուբլի  Լեհաստան զլոտի
Ռուսաստանը ռուբլի  Ռումինիա Լեու 
Շվեդիա կռոն  Թաիլանդ բահթ 
Շվեդիա կռոն  Ուկրաինայի գրիվեն 
Շվեդիա կռոն  ԱՄՆ դոլար
Շվեդիա կռոն  Վիետնամ Դոնգ 
Շվեդիա կռոն  Ալժիր դինար 
Շվեդիա կռոն  Անգոլա Կվանզա  
Շվեդիա կռոն  Արգենտինա Պեսո
Շվեդիա կռոն  Հայաստան դրամ
Շվեդիա կռոն  Բրազիլիա ռեալ 
Շվեդիա կռոն  Բուլղարիայի լեվ
Շվեդիա կռոն  Կամբոջիա Ռիյել
Շվեդիա կռոն  Կանադա դոլարը
Շվեդիա կռոն  Խորվաթիա Կունա 
Շվեդիա կռոն  Դանիա կրոնը
Շվեդիա կռոն  Եվրոպա եվրո
Շվեդիա կռոն  Հունգարիա ֆորինտ
Շվեդիա կռոն  Հնդկաստան ռուփի
Շվեդիա կռոն  Իրանը ռիալ 
Շվեդիա կռոն  Ճապոնիա իեն
Շվեդիա կռոն  Կորեայի հավաքականը հաղթեց
Շվեդիա կռոն  Լատվիա լատս 
Շվեդիա կռոն  Լիտվա լիտաս 
Շվեդիա կռոն  Մակեդոնիա դենար 
Շվեդիա կռոն  Մալայզիա Ռինգիթ
Շվեդիա կռոն  Մեքսիկա Պեսո
Շվեդիա կռոն  Նիգերիա ՆԱԻՌԱ 
Շվեդիա կռոն  Լեհաստան զլոտի
Շվեդիա կռոն  Ռումինիա Լեու 
Շվեդիա կռոն  Ռուսաստանը ռուբլի 
Թաիլանդ բահթ  Ուկրաինա գրիվեն 
Թաիլանդ բահթ  ԱՄՆ դոլար
Թաիլանդ բահթ  Վիետնամ Դոնգ 
Թաիլանդ բահթ  Ալժիրի դինար
Թաիլանդ բահթ  Անգոլա Կվանզա  
Թաիլանդ բահթ  Արգենտինա պեսո
Թաիլանդ բահթ  Հայաստան դրամ
Թաիլանդ բահթ  Բրազիլիա ռեալ 
Թաիլանդ բահթ  Բուլղարիա լեվ
Թաիլանդ բահթ  Կամբոջիա Ռիյել
Թաիլանդ բահթ  Կանադա դոլարը
Թաիլանդ բահթ  Խորվաթիա կունա 
Թաիլանդ բահթ  Դանիա կռոն 
Թաիլանդ բահթ  Եվրոպա եվրո
Թաիլանդ բահթ  Հունգարիա ֆորինտ 
Թաիլանդ բահթ  Հնդկաստան ռուփի 
Թաիլանդ բահթ  Իրանը ռիալ 
Թաիլանդ բահթ  Ճապոնիա յեն
Թաիլանդ բահթ  Կորեայի հավաքականը հաղթեց
Թաիլանդ բահթ  Լատվիա լատս 
Թաիլանդ բահթ  Լիտվա լիտաս 
Թաիլանդ բահթ  Մակեդոնիա դենար 
Թաիլանդ բահթ  Մալայզիա Ռինգիթ
Թաիլանդ բահթ  Մեքսիկա Պեսո
Թաիլանդ բահթ  Նիգերիա ՆԱԻՌԱ 
Թաիլանդ բահթ  Լեհաստան զլոտի
Թաիլանդ բահթ  Ռումինիա Լեու 
Թաիլանդ բահթ  Ռուսաստան ռուբլի
Թաիլանդ բահթ  Շվեդիա կռոն 
Ուկրաինայի գրիվեն  ԱՄՆ դոլար
Ուկրաինայի գրիվեն  Վիետնամ Դոնգ 
Ուկրաինայի գրիվեն  Ալժիր դինար 
Ուկրաինայի գրիվեն  Անգոլա Կվանզա  
Ուկրաինայի գրիվեն  Արգենտինա Պեսո
Ուկրաինան գրիվեն  Հայաստան դրամ
Ուկրաինայի գրիվեն  Բրազիլիա ռեալ 
Ուկրաինան գրիվեն  Բուլղարիա լեվ
Ուկրաինայի գրիվեն  Կամբոջիա Ռիյել
Ուկրաինայի գրիվեն  Կանադա դոլարը
Ուկրաինայի գրիվեն  Խորվաթիա Կունա 
Ուկրաինայի գրիվեն  Դանիա կրոնը
Ուկրաինան գրիվեն  Եվրոպա եվրո
Ուկրաինայի գրիվեն  Հունգարիա ֆորինտ
Ուկրաինայի գրիվեն  Հնդկաստան ռուփի
Ուկրաինայի գրիվեն  Իրանը ռիալ 
Ուկրաինայի գրիվեն  Ճապոնիա իեն
Ուկրաինայի գրիվեն  Կորեայի հավաքականը հաղթեց
Ուկրաինայի գրիվեն  Լատվիա լատս 
Ուկրաինայի գրիվեն  Լիտվա լիտաս 
Ուկրաինայի գրիվեն  Մակեդոնիա դենար 
Ուկրաինայի գրիվեն  Մալայզիա Ռինգիթ
Ուկրաինայի գրիվեն  Մեքսիկա Պեսո
Ուկրաինայի գրիվեն  Նիգերիա ՆԱԻՌԱ 
Ուկրաինայի գրիվեն  Լեհաստան զլոտի
Ուկրաինայի գրիվեն  Ռումինիա Լեու 
Ուկրաինայի գրիվեն  Ռուսաստանը ռուբլի 
Ուկրաինայի գրիվեն  Շվեդիա կռոն 
Ուկրաինայի գրիվեն  Թաիլանդ բահթ 
ԱՄՆ դոլար Վիետնամ Դոնգ 
ԱՄՆ դոլար Ալժիր դինար 
ԱՄՆ դոլար Անգոլա Կվանզա  
ԱՄՆ դոլար Արգենտինա Պեսո
ԱՄՆ դոլար Հայաստան դրամ
ԱՄՆ դոլար Բրազիլիա ռեալ 
ԱՄՆ դոլար Բուլղարիա լեվ
ԱՄՆ դոլար Կամբոջիա Ռիյել
ԱՄՆ դոլար Խորվաթիա Կունա 
ԱՄՆ դոլար Դանիա կրոնը
ԱՄՆ դոլար Եվրոպա եվրո
ԱՄՆ դոլար Հունգարիա ֆորինտ
ԱՄՆ դոլար Հնդկաստան ռուփի
ԱՄՆ դոլար Իրանը ռիալ 
ԱՄՆ դոլար Ճապոնիա իեն
ԱՄՆ դոլար Կորեայի հավաքականը հաղթեց
ԱՄՆ դոլար Լատվիա լատս 
ԱՄՆ դոլար Լիտվա լիտաս 
ԱՄՆ դոլար Մակեդոնիա դենար 
ԱՄՆ դոլար Մալայզիա Ռինգիթ
ԱՄՆ դոլար Մեքսիկա Պեսո
ԱՄՆ դոլար Նիգերիա ՆԱԻՌԱ 
ԱՄՆ դոլար Լեհաստան զլոտի
ԱՄՆ դոլար Ռումինիա Լեու 
ԱՄՆ դոլար Ռուսաստանը ռուբլի 
ԱՄՆ դոլար Շվեդիա կռոն 
ԱՄՆ դոլար Թաիլանդ բահթ 
ԱՄՆ դոլար Ուկրաինայի գրիվեն 
Վիետնամ Դոնգ  Ալժիր դինար 
Վիետնամ Դոնգ  Անգոլա Կվանզա  
Վիետնամ Դոնգ  Արգենտինա Պեսո
Վիետնամ Դոնգ  Հայաստան դրամ
Վիետնամ Դոնգ  Բրազիլիա ռեալ 
Վիետնամ Դոնգ  Բուլղարիա լեվ
Վիետնամում Դոնգ  Կամբոջիա Ռիյել
Վիետնամ Դոնգ  Կանադա դոլարը
Վիետնամ Դոնգ  Խորվաթիա Կունա 
Վիետնամ Դոնգ  Դանիա կրոնը
Վիետնամ Դոնգ  Եվրոպա եվրո
Վիետնամ Դոնգ  Հունգարիա ֆորինտ
Վիետնամ Դոնգ  Հնդկաստան ռուփի
Վիետնամ Դոնգ  Իրանը ռիալ 
Վիետնամ Դոնգ  Ճապոնիա իեն
Վիետնամ Դոնգ  Կորեայի հավաքականը հաղթեց
Վիետնամ Դոնգ  Լատվիա լատս 
Վիետնամ Դոնգ  Լիտվա լիտաս 
Վիետնամ Դոնգ  Մակեդոնիա դենար 
Վիետնամ Դոնգ  Մալայզիա Ռինգիթ
Վիետնամ Դոնգ  Մեքսիկա Պեսո
Վիետնամ Դոնգ  Նիգերիա ՆԱԻՌԱ 
Վիետնամ Դոնգ  Լեհաստան զլոտի
Վիետնամ Դոնգ  Ռումինիա Լեու 
Վիետնամ Դոնգ  Ռուսաստանը ռուբլի 
Վիետնամ Դոնգ  Շվեդիա կռոն 
Վիետնամ Դոնգ  Թաիլանդ բահթ 
Վիետնամ Դոնգ  Ուկրաինայի գրիվեն 
Վիետնամ Դոնգ  ԱՄՆ դոլար
